id,combat_level,size,hitpoints,max_hit,attack_type,aggressive,poisonous,venomous,immune_poison,immune_venom,attack_level,strength_level,defence_level,magic_level,ranged_level,attack_bonus
1,51,1,52,5,crush,TRUE,FALSE,FALSE,FALSE,FALSE,40,40,50,0,1,0
2,96,2,90,8,magic,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,90,105,1,0
3,96,2,90,8,magic,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,90,105,1,0
4,96,2,90,8,magic,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,90,105,1,0
5,96,2,90,8,magic,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,90,105,1,0
6,96,2,90,8,magic,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,90,105,1,0
7,96,2,90,8,magic,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,90,105,1,0
8,115,1,105,11,crush,FALSE,FALSE,FALSE,FALSE,FALSE,97,97,105,1,1,0
10,46,1,60,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,67,7,30,1,1,0
11,115,1,105,11,crush,FALSE,FALSE,FALSE,FALSE,FALSE,97,97,105,1,1,0
26,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
27,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
28,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
29,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
30,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
31,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
32,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
33,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
34,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
35,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
36,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
37,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
38,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
39,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
40,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
41,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
42,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
43,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
44,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
45,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
46,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
47,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
48,18,1,24,2,slash,TRUE,FALSE,FALSE,FALSE,FALSE,13,13,18,1,1,5
49,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
50,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
51,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
52,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
53,13,1,22,3,crush,TRUE,FALSE,FALSE,FALSE,FALSE,8,9,10,1,1,0
54,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
55,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
56,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
57,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
58,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
59,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
60,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
61,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
62,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
63,24,1,30,3,slash,TRUE,FALSE,FALSE,FALSE,FALSE,19,21,16,1,1,5
64,25,1,30,3,slash,FALSE,FALSE,FALSE,FALSE,FALSE,19,21,21,1,1,5
65,25,1,30,3,slash,FALSE,FALSE,FALSE,FALSE,FALSE,19,21,21,1,1,5
